stroke_count,radical,radical_index
1,一,0
1,｜,1
1,丶,2
1,ノ,3
1,乙,4
1,亅,5
2,二,0
2,亠,1
2,人,2
2,⺅,3
2,𠆢,4
2,儿,5
2,入,6
2,ハ,7
2,丷,8
2,冂,9
2,冖,10
2,冫,11
2,几,12
2,凵,13
2,刀,14
2,⺉,15
2,力,16
2,勹,17
2,匕,18
2,匚,19
2,十,20
2,卜,21
2,卩,22
2,厂,23
2,厶,24
2,又,25
2,マ,26
2,九,27
2,ユ,28
2,乃,29
2,𠂉,30
3,⻌,0
3,口,1
3,囗,2
3,土,3
3,士,4
3,夂,5
3,夕,6
3,大,7
3,女,8
3,子,9
3,宀,10
3,寸,11
3,小,12
3,⺌,13
3,尢,14
3,尸,15
3,屮,16
3,山,17
3,川,18
3,巛,19
3,工,20
3,已,21
3,巾,22
3,干,23
3,幺,24
3,广,25
3,廴,26
3,廾,27
3,弋,28
3,弓,29
3,ヨ,30
3,彑,31
3,彡,32
3,彳,33
3,⺖,34
3,⺘,35
3,⺡,36
3,⺨,37
3,⺾,38
3,⻏,39
3,⻖,40
3,也,41
3,亡,42
3,及,43
3,久,44
4,⺹,0
4,心,1
4,戈,2
4,戸,3
4,手,4
4,支,5
4,攵,6
4,文,7
4,斗,8
4,斤,9
4,方,10
4,无,11
4,日,12
4,曰,13
4,月,14
4,木,15
4,欠,16
4,止,17
4,歹,18
4,殳,19
4,比,20
4,毛,21
4,氏,22
4,气,23
4,水,24
4,火,25
4,⺣,26
4,爪,27
4,父,28
4,爻,29
4,爿,30
4,片,31
4,牛,32
4,犬,33
4,⺭,34
4,王,35
4,元,36
4,井,37
4,勿,38
4,尤,39
4,五,40
4,屯,41
4,巴,42
4,毋,43
5,玄,0
5,瓦,1
5,甘,2
5,生,3
5,用,4
5,田,5
5,疋,6
5,疒,7
5,癶,8
5,白,9
5,皮,10
5,皿,11
5,目,12
5,矛,13
5,矢,14
5,石,15
5,示,16
5,禸,17
5,禾,18
5,穴,19
5,立,20
5,⻂,21
5,世,22
5,巨,23
5,冊,24
5,母,25
5,⺲,26
5,牙,27
6,瓜,0
6,竹,1
6,米,2
6,糸,3
6,缶,4
6,羊,5
6,羽,6
6,而,7
6,耒,8
6,耳,9
6,聿,10
6,肉,11
6,自,12
6,至,13
6,臼,14
6,舌,15
6,舟,16
6,艮,17
6,色,18
6,虍,19
6,虫,20
6,血,21
6,行,22
6,衣,23
6,西,24
7,臣,0
7,見,1
7,角,2
7,言,3
7,谷,4
7,豆,5
7,豕,6
7,豸,7
7,貝,8
7,赤,9
7,走,10
7,足,11
7,身,12
7,車,13
7,辛,14
7,辰,15
7,酉,16
7,釆,17
7,里,18
7,舛,19
7,麦,20
8,金,0
8,長,1
8,門,2
8,隶,3
8,隹,4
8,雨,5
8,青,6
8,非,7
8,奄,8
8,岡,9
8,免,10
8,斉,11
9,面,0
9,革,1
9,韭,2
9,音,3
9,頁,4
9,風,5
9,飛,6
9,食,7
9,首,8
9,香,9
9,品,10
10,馬,0
10,骨,1
10,高,2
10,髟,3
10,鬥,4
10,鬯,5
10,鬲,6
10,鬼,7
10,竜,8
10,韋,9
11,魚,0
11,鳥,1
11,鹵,2
11,鹿,3
11,麻,4
11,亀,5
11,啇,6
11,黄,7
11,黒,8
12,黍,0
12,黹,1
12,無,2
12,歯,3
13,黽,0
13,鼎,1
13,鼓,2
13,鼠,3
14,鼻,0
14,齊,1
17,龠,0

